iter	Passed	Remaining
0	55	55406
1	55	27852
2	56	18661
3	56	14063
4	56	11310
5	57	9484
6	57	8178
7	58	7201
8	58	6431
9	58	5818
10	59	5314
11	59	4895
12	59	4540
13	60	4234
14	60	3972
15	60	3739
16	61	3539
17	61	3356
18	61	3196
19	62	3054
20	62	2922
21	63	2801
22	63	2695
23	63	2595
24	64	2501
25	64	2413
26	64	2332
27	65	2258
28	65	2189
29	65	2125
30	66	2068
31	66	2013
32	66	1963
33	67	1912
34	67	1863
35	68	1822
36	68	1780
37	68	1739
38	69	1701
39	69	1664
40	69	1630
41	70	1597
42	70	1568
43	70	1538
44	71	1510
45	71	1483
46	71	1456
47	72	1430
48	72	1407
49	72	1385
50	73	1363
51	73	1341
52	73	1320
53	74	1300
54	74	1281
55	75	1264
56	75	1247
57	75	1229
58	76	1213
59	76	1197
60	76	1181
61	77	1167
62	77	1152
63	77	1139
64	78	1125
65	78	1112
66	78	1098
67	79	1086
68	79	1073
69	79	1062
70	80	1051
71	80	1041
72	81	1030
73	81	1020
74	82	1011
75	82	1002
76	82	993
77	83	985
78	83	976
79	84	968
80	84	959
81	84	950
82	85	943
83	85	935
84	86	926
85	86	918
86	86	911
87	87	903
88	87	896
89	87	889
90	88	882
91	88	876
92	89	869
93	89	863
94	89	857
95	90	850
96	90	844
97	90	837
98	91	831
99	91	825
100	92	819
101	92	813
102	92	807
103	92	801
104	93	795
105	93	790
106	94	785
107	94	780
108	94	774
109	95	769
110	95	764
111	95	759
112	96	754
113	96	748
114	96	744
115	97	740
116	97	735
117	97	731
118	98	727
119	98	723
120	98	718
121	99	715
122	99	711
123	100	707
124	100	703
125	100	700
126	101	696
127	101	693
128	102	690
129	102	686
130	102	682
131	103	679
132	103	676
133	104	673
134	104	670
135	105	667
136	105	664
137	105	661
138	106	658
139	106	654
140	106	651
141	107	646
142	107	643
143	107	640
144	108	637
145	108	634
146	108	631
147	109	628
148	109	625
149	109	623
150	110	619
151	110	617
152	111	614
153	111	612
154	111	609
155	112	606
156	112	603
157	112	600
158	113	597
159	113	594
160	113	592
161	113	589
162	114	586
163	114	584
164	114	581
165	115	579
166	115	576
167	115	574
